LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
huanghuang,CPIFORECAST,TOT,AGRWTH,A,2015,1.508366722,
AUS,CPIFORECAST,TOT,AGRWTH,A,2016,1.253772928,
AUS,CPIFORECAST,TOT,AGRWTH,A,2017,1.972024765,
AUS,CPIFORECAST,TOT,AGRWTH,A,2018,1.933888014,
AUS,CPIFORECAST,TOT,AGRWTH,A,2019,1.551137659,
AUS,CPIFORECAST,TOT,AGRWTH,A,2020,1.647200341,
AUS,,TOT,AGRWTH,A,2021,1.599624922,
CAN,CPIFORECAST,TOT,AGRWTH,A,2015,1.118583128,
CAN,CPIFORECAST,TOT,AGRWTH,A,2016,1.435438204,
CAN,CPIFORECAST,TOT,AGRWTH,A,2017,1.603375527,
CAN,CPIFORECAST,TOT,AGRWTH,A,2018,2.242524917,
CAN,CPIFORECAST,TOT,AGRWTH,A,2019,1.945347248,
CAN,CPIFORECAST,TOT,AGRWTH,A,2020,1.921794482,
CAN,CPIFORECAST,TOT,AGRWTH,A,2021,1.998800155,
CZE,CPIFORECAST,TOT,AGRWTH,A,2015,0.309364548,
CZE,CPIFORECAST,TOT,,A,2016,0.683504209,
CZE,CPIFORECAST,TOT,AGRWTH,A,2017,2.450533985,
CZE,CPIFORECAST,TOT,AGRWTH,A,2018,2.149494949,
CZE,CPIFORECAST,TOT,AGRWTH,A,2019,2.813301377,
CZE,CPIFORECAST,TOT,AGRWTH,A,2020,2.470314197,
CZE,CPIFORECAST,TOT,AGRWTH,A,2021,2.325536205,
DNK,CPIFORECAST,TOT,AGRWTH,A,2015,0.452034154,
DNK,CPIFORECAST,TOT,AGRWTH,A,2016,0.25,
DNK,CPIFORECAST,TOT,AGRWTH,A,2017,1.14713217,
DNK,CPIFORECAST,TOT,AGRWTH,A,2018,0.813609467,
DNK,CPIFORECAST,TOT,AGRWTH,A,2019,0.722743168,
DNK,CPIFORECAST,TOT,,A,2020,0.937565152,
DNK,CPIFORECAST,TOT,AGRWTH,A,2021,1.431512163,
HUN,CPIFORECAST,TOT,AGRWTH,A,2015,-0.06164468,
HUN,CPIFORECAST,TOT,AGRWTH,A,2016,0.394769307,
HUN,CPIFORECAST,TOT,AGRWTH,A,2017,2.348242812,
HUN,CPIFORECAST,TOT,AGRWTH,A,2018,2.850247923,
HUN,CPIFORECAST,TOT,AGRWTH,,2019,3.300854639,
HUN,CPIFORECAST,TOT,AGRWTH,A,2020,3.38230017,
HUN,CPIFORECAST,TOT,AGRWTH,A,2021,4.082501329,
ISL,CPIFORECAST,TOT,AGRWTH,A,2015,1.633058482,
ISL,CPIFORECAST,TOT,AGRWTH,A,2016,1.696930239,
ISL,CPIFORECAST,TOT,AGRWTH,A,2017,1.760412791,
