location,indicator,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUS,CPIFORECAST,TOT,AGRWTH,A,2015.0,1.5083667219999999
AUS,CPIFORECAST,TOT,AGRWTH,A,2016.0,1.253772928
AUS,CPIFORECAST,TOT,AGRWTH,A,2018.0,1.933888014
AUS,CPIFORECAST,TOT,AGRWTH,A,2019.0,1.5511376590000001
AUS,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.5996249219999998
CAN,CPIFORECAST,TOT,AGRWTH,A,2015.0,1.118583128
CAN,CPIFORECAST,TOT,AGRWTH,A,2016.0,1.435438204
CAN,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.6033755269999999
CAN,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.242524917
CAN,CPIFORECAST,TOT,AGRWTH,A,2019.0,1.945347248
CAN,CPIFORECAST,TOT,AGRWTH,A,2020.0,1.921794482
CAN,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.998800155
CZE,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.309364548
CZE,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.6835042090000001
CZE,CPIFORECAST,TOT,AGRWTH,A,2017.0,2.450533985
CZE,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.149494949
CZE,CPIFORECAST,TOT,AGRWTH,A,2019.0,2.8133013769999997
CZE,CPIFORECAST,TOT,AGRWTH,A,2020.0,2.470314197
CZE,CPIFORECAST,TOT,AGRWTH,A,2021.0,2.325536205
DNK,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.45203415399999997
DNK,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.25
DNK,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.14713217
DNK,CPIFORECAST,TOT,AGRWTH,A,2018.0,0.813609467
DNK,CPIFORECAST,TOT,AGRWTH,A,2019.0,0.7227431679999999
DNK,CPIFORECAST,TOT,AGRWTH,A,2020.0,0.937565152
DNK,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.431512163
HUN,CPIFORECAST,TOT,AGRWTH,A,2015.0,-0.06164468
HUN,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.394769307
HUN,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.850247923
HUN,CPIFORECAST,TOT,AGRWTH,A,2019.0,3.3008546389999998
HUN,CPIFORECAST,TOT,AGRWTH,A,2020.0,3.38230017
HUN,CPIFORECAST,TOT,AGRWTH,A,2021.0,4.082501328999999
ISL,CPIFORECAST,TOT,AGRWTH,A,2015.0,1.6330584819999998
ISL,CPIFORECAST,TOT,AGRWTH,A,2016.0,1.696930239
ISL,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.760412791
ISL,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.682915085
