location_indicator,SUBJECT,MEASURE,FREQUENCY,TIME,TIME.1,Value,Flag Codes
AUS_CPIFORECAST,TOT,AGRWTH,A,2015,2015,1.508366722,
AUS_CPIFORECAST,TOT,AGRWTH,A,2016,2016,1.253772928,
AUS_CPIFORECAST,TOT,,A,2017,2017,1.972024765,
AUS_CPIFORECAST,TOT,AGRWTH,A,2018,2018,1.933888014,
AUS_CPIFORECAST,TOT,AGRWTH,A,2019,2019,1.551137659,
AUS_CPIFORECAST,TOT,AGRWTH,A,,2020,1.647200341,
AUS_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.599624922,
CAN_CPIFORECAST,TOT,AGRWTH,A,2015,2015,1.118583128,
CAN_CPIFORECAST,TOT,AGRWTH,A,2016,2016,1.435438204,
CAN_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.603375527,
CAN_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.242524917,
CAN_CPIFORECAST,TOT,AGRWTH,A,2019,2019,1.945347248,
CAN_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.921794482,
CAN_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.998800155,
CZE_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.309364548,
CZE_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.683504209,
CZE_CPIFORECAST,TOT,AGRWTH,A,2017,2017,2.450533985,
CZE_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.149494949,
CZE_CPIFORECAST,TOT,AGRWTH,A,2019,2019,2.813301377,
CZE_CPIFORECAST,TOT,AGRWTH,A,2020,2020,2.470314197,
CZE_CPIFORECAST,TOT,AGRWTH,A,2021,2021,2.325536205,
DNK_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.452034154,
DNK_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.25,
DNK_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.14713217,
DNK_CPIFORECAST,TOT,AGRWTH,A,2018,2018,0.813609467,
DNK_CPIFORECAST,TOT,AGRWTH,A,2019,2019,0.722743168,
DNK_CPIFORECAST,TOT,AGRWTH,A,2020,2020,0.937565152,
DNK_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.431512163,
HUN_CPIFORECAST,TOT,AGRWTH,A,2015,2015,-0.06164468,
HUN_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.394769307,
HUN_CPIFORECAST,TOT,,A,2017,2017,2.348242812,
HUN_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.850247923,
HUN_CPIFORECAST,TOT,AGRWTH,A,2019,2019,3.300854639,
HUN_CPIFORECAST,TOT,AGRWTH,A,2020,2020,3.38230017,
HUN_CPIFORECAST,TOT,AGRWTH,A,2021,2021,4.082501329,
ISL_CPIFORECAST,TOT,AGRWTH,A,2015,2015,1.633058482,
ISL_CPIFORECAST,TOT,AGRWTH,A,2016,2016,1.696930239,
ISL_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.760412791,
ISL_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.682915085,
ISL_CPIFORECAST,TOT,AGRWTH,A,2019,2019,3.030161998,
ISL_CPIFORECAST,TOT,AGRWTH,A,2020,2020,2.352532756,
ISL_CPIFORECAST,TOT,AGRWTH,A,2021,2021,2.090656097,
JPN_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.78951789,
JPN_CPIFORECAST,TOT,AGRWTH,A,2016,2016,-0.116666667,
JPN_CPIFORECAST,TOT,AGRWTH,A,2017,2017,0.467211747,
JPN_CPIFORECAST,TOT,AGRWTH,A,2018,2018,0.988207939,
JPN_CPIFORECAST,TOT,AGRWTH,A,2019,,0.609851623,
JPN_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.064059775,
JPN_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.248417783,
KOR_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.70620817,
KOR_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.971674764,
KOR_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.944455907,
KOR_CPIFORECAST,TOT,AGRWTH,A,2018,2018,1.475862404,
KOR_CPIFORECAST,TOT,AGRWTH,A,2019,2019,0.283080205,
KOR_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.050693213,
KOR_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.428059042,
MEX_CPIFORECAST,TOT,AGRWTH,A,2015,2015,2.720641263,
MEX_CPIFORECAST,TOT,,A,2016,2016,2.821707752,
MEX_CPIFORECAST,TOT,AGRWTH,A,2017,2017,6.041455823,
MEX_CPIFORECAST,TOT,AGRWTH,A,2018,2018,4.899350966,
MEX_CPIFORECAST,TOT,AGRWTH,A,2019,2019,3.546401294,
MEX_CPIFORECAST,TOT,AGRWTH,A,2020,2020,2.702124135,
MEX_CPIFORECAST,TOT,AGRWTH,A,2021,2021,2.712467935,
NZL_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.292703309,
NZL_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.646237225,
NZL_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.850787071,
NZL_CPIFORECAST,TOT,AGRWTH,A,2018,2018,1.59829795,
NZL_CPIFORECAST,TOT,AGRWTH,A,2019,2019,1.549306854,
NZL_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.862161804,
