,location,indicator,SUBJECT,MEASURE,FREQUENCY,TIME,TIME.1,Value
0,AUS,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,1.5083667219999999
1,AUS,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,1.253772928
3,AUS,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,1.933888014
4,AUS,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,1.5511376590000001
6,AUS,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.5996249219999998
7,CAN,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,1.118583128
8,CAN,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,1.435438204
9,CAN,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,1.6033755269999999
10,CAN,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,2.242524917
11,CAN,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,1.945347248
12,CAN,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,1.921794482
13,CAN,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.998800155
14,CZE,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.309364548
15,CZE,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,0.6835042090000001
16,CZE,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,2.450533985
17,CZE,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,2.149494949
18,CZE,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,2.8133013769999997
19,CZE,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,2.470314197
20,CZE,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,2.325536205
21,DNK,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,0.45203415399999997
22,DNK,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,0.25
23,DNK,CPIFORECAST,TOT,AGRWTH,A,2017.0,2017.0,1.14713217
24,DNK,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,0.813609467
25,DNK,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,0.7227431679999999
26,DNK,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,0.937565152
27,DNK,CPIFORECAST,TOT,AGRWTH,A,2021.0,2021.0,1.431512163
28,HUN,CPIFORECAST,TOT,AGRWTH,A,2015.0,2015.0,-0.06164468
29,HUN,CPIFORECAST,TOT,AGRWTH,A,2016.0,2016.0,0.394769307
31,HUN,CPIFORECAST,TOT,AGRWTH,A,2018.0,2018.0,2.850247923
32,HUN,CPIFORECAST,TOT,AGRWTH,A,2019.0,2019.0,3.3008546389999998
33,HUN,CPIFORECAST,TOT,AGRWTH,A,2020.0,2020.0,3.38230017
