LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUT,CPI,TOT,AGRWTH,M,1.1,2.502317
AUT,CPI,TOT,AGRWTH,M,2.1,3.021771
AUT,CPI,TOT,AGRWTH,M,3.1,3.09295
AUT,CPI,TOT,AGRWTH,M,4.1,3.310327
AUT,CPI,TOT,AGRWTH,M,5.1,3.315974
AUT,CPI,TOT,AGRWTH,M,6.1,3.315974
AUT,CPI,TOT,AGRWTH,M,7.1,3.4937
AUT,CPI,TOT,AGRWTH,M,8.1,3.504679
AUT,CPI,TOT,AGRWTH,M,9.1,3.620805
AUT,CPI,TOT,AGRWTH,M,10.1,3.437919
AUT,CPI,TOT,AGRWTH,M,11.1,3.631503
AUT,CPI,TOT,AGRWTH,M,12.1,3.174041
AUT,CPI,TOT,AGRWTH,M,1.1,2.772277
AUT,CPI,TOT,AGRWTH,M,2.1,2.556539
AUT,CPI,TOT,AGRWTH,M,3.1,2.429543
AUT,CPI,TOT,AGRWTH,M,4.1,2.321083
AUT,CPI,TOT,AGRWTH,M,5.1,2.125604
AUT,CPI,TOT,AGRWTH,M,6.1,2.222222
AUT,CPI,TOT,AGRWTH,M,7.1,2.129719
AUT,CPI,TOT,AGRWTH,M,8.1,2.222222
AUT,CPI,TOT,AGRWTH,M,9.1,2.694899
AUT,CPI,TOT,AGRWTH,M,10.1,2.788461
AUT,CPI,TOT,AGRWTH,M,11.1,2.785783
AUT,CPI,TOT,AGRWTH,M,12.1,2.780441
AUT,CPI,TOT,AGRWTH,M,1.1,2.697495
AUT,CPI,TOT,AGRWTH,M,2.1,2.492809
AUT,CPI,TOT,AGRWTH,M,3.1,2.27704
AUT,CPI,TOT,AGRWTH,M,4.1,1.984877
AUT,CPI,TOT,AGRWTH,M,5.1,2.270577
AUT,CPI,TOT,AGRWTH,M,6.1,2.173913
AUT,CPI,TOT,AGRWTH,M,7.1,1.990521
AUT,CPI,TOT,AGRWTH,M,8.1,1.795841
AUT,CPI,TOT,AGRWTH,M,9.1,1.686973
AUT,CPI,TOT,AGRWTH,M,10.1,1.403181
AUT,CPI,TOT,AGRWTH,M,11.1,1.401869
AUT,CPI,TOT,AGRWTH,M,12.1,1.865672
AUT,CPI,TOT,AGRWTH,M,1.1,1.594747
AUT,CPI,TOT,AGRWTH,M,2.1,1.496726
AUT,CPI,TOT,AGRWTH,M,3.1,1.669759
AUT,CPI,TOT,AGRWTH,M,4.1,1.668211
AUT,CPI,TOT,AGRWTH,M,5.1,1.757632
AUT,CPI,TOT,AGRWTH,M,6.1,1.850139
AUT,CPI,TOT,AGRWTH,M,7.1,1.765799
AUT,CPI,TOT,AGRWTH,M,8.1,1.671309
AUT,CPI,TOT,AGRWTH,M,9.1,1.56682
AUT,CPI,TOT,AGRWTH,M,10.1,1.568266
AUT,CPI,TOT,AGRWTH,M,11.1,1.658986
AUT,CPI,TOT,AGRWTH,M,12.1,1.007326
AUT,CPI,TOT,AGRWTH,M,1.1,0.7386888
AUT,CPI,TOT,AGRWTH,M,2.1,0.8589376
AUT,CPI,TOT,AGRWTH,M,3.1,0.9571964
AUT,CPI,TOT,AGRWTH,M,4.1,1.066896
AUT,CPI,TOT,AGRWTH,M,5.1,0.9924396
AUT,CPI,TOT,AGRWTH,M,6.1,1.00121
AUT,CPI,TOT,AGRWTH,M,7.1,1.150444
AUT,CPI,TOT,AGRWTH,M,8.1,0.9483453
AUT,CPI,TOT,AGRWTH,M,9.1,0.7087427
AUT,CPI,TOT,AGRWTH,M,10.1,0.6997142
AUT,CPI,TOT,AGRWTH,M,11.1,0.6174383
AUT,CPI,TOT,AGRWTH,M,12.1,1.018704
AUT,CPI,TOT,AGRWTH,M,1.1,1.217039
AUT,CPI,TOT,AGRWTH,M,2.1,1.011122
AUT,CPI,TOT,AGRWTH,M,3.1,0.7
AUT,CPI,TOT,AGRWTH,M,4.1,0.499002
AUT,CPI,TOT,AGRWTH,M,5.1,0.5976096
AUT,CPI,TOT,AGRWTH,M,6.1,0.5970149
AUT,CPI,TOT,AGRWTH,M,7.1,0.5994006
AUT,CPI,TOT,AGRWTH,M,8.1,0.6006006
AUT,CPI,TOT,AGRWTH,M,9.1,0.8973081
AUT,CPI,TOT,AGRWTH,M,10.1,1.297405
AUT,CPI,TOT,AGRWTH,M,11.1,1.296112
AUT,CPI,TOT,AGRWTH,M,12.1,1.390268
AUT,CPI,TOT,AGRWTH,M,1.1,2.004008
AUT,CPI,TOT,AGRWTH,M,2.1,2.202202
AUT,CPI,TOT,AGRWTH,M,3.1,1.886792
AUT,CPI,TOT,AGRWTH,M,4.1,2.085402
AUT,CPI,TOT,AGRWTH,M,5.1,1.881188
AUT,CPI,TOT,AGRWTH,M,6.1,1.879327
AUT,CPI,TOT,AGRWTH,M,7.1,1.986097
AUT,CPI,TOT,AGRWTH,M,8.1,2.089552
AUT,CPI,TOT,AGRWTH,M,9.1,2.371542
AUT,CPI,TOT,AGRWTH,M,10.1,2.167488
AUT,CPI,TOT,AGRWTH,M,11.1,2.26378
AUT,CPI,TOT,AGRWTH,M,12.1,2.15475
AUT,CPI,TOT,AGRWTH,M,1.1,1.768173
AUT,CPI,TOT,AGRWTH,M,2.1,1.762977
AUT,CPI,TOT,AGRWTH,M,3.1,1.851852
AUT,CPI,TOT,AGRWTH,M,4.1,1.848249
AUT,CPI,TOT,AGRWTH,M,5.1,1.943635
AUT,CPI,TOT,AGRWTH,M,6.1,2.038835
AUT,CPI,TOT,AGRWTH,M,7.1,2.142162
AUT,CPI,TOT,AGRWTH,M,8.1,2.241715
AUT,CPI,TOT,AGRWTH,M,9.1,2.027027
AUT,CPI,TOT,AGRWTH,M,10.1,2.217936
AUT,CPI,TOT,AGRWTH,M,11.1,2.213667
AUT,CPI,TOT,AGRWTH,M,12.1,1.917546
AUT,CPI,TOT,AGRWTH,M,1.1,1.833977
